english,german,0,0
bust,sprengen,16,3
bold,kuehn,0,1
to become apostate,abtruennig werden,0,0
paste,kleister,0,0
embroidered,gestickt,0,0
scenery,kulisse,0,0
fission,fission,0,0
cause,veranlassen,0,0
concise,praegnant,0,0
lest,damit nicht,0,0
ribbon,Band,0,0
dwell,wohnen,0,0
